scenario,algorithm,seed,total_regret,mean_regret,physical_probes,remote_substitutions,communication_bytes,bad_aggressive_decisions,aggressive_decisions,policy_switches,recovery_delay_1,recovery_delay_2,total_decision_ops,mean_decision_ops,information_gain,information_per_probe,information_per_regret,max_state_count
baseline_adversarial,SPI_HCPI,19,29314.149339599746,6.514255408799944,40,0,0,10,1079,20,,,27000,6.0,0.0,0.0,0.0,23
baseline_adversarial,DualControl,19,17142.01683451521,3.809337074336713,326,0,0,49,2467,428,4.0,0.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,ConstrainedBandit,19,23312.516320731047,5.180559182384677,266,0,0,30,1790,340,105.0,0.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,GenericEIG,19,29844.75031433646,6.632166736519213,115,0,0,15,1080,179,,,54000,12.0,0.0,0.0,0.0,23
baseline_adversarial,ITAC_K_Full,19,18647.53389155856,4.143896420346347,4189,238,24396,169,2958,751,0.0,0.0,53708,11.93511111111111,55.638465546510034,0.01328203999677967,0.002983690276154783,19
baseline_adversarial,ITAC_K_LocalOnly,19,18775.33392999604,4.172296428888009,4436,0,7600,173,2966,752,0.0,0.0,53744,11.943111111111111,56.438519766428875,0.012722840344100287,0.0030059928615310005,19
baseline_adversarial,ITAC_K_GenericVoI_Local,19,21077.002434450307,4.683778318766735,4500,0,7676,176,2808,717,0.0,0.0,54000,12.0,56.45458583420397,0.012545463518711993,0.0026784921627151822,19
baseline_adversarial,ITAC_K_UnqualifiedRemote,19,15821.867790546405,3.5159706201214234,2684,608,51756,146,3087,604,0.0,0.0,49168,10.926222222222222,51.273020323970606,0.01910321174514553,0.0032406426979883075,19
baseline_adversarial,ITAC_K_NoKinematics,19,18647.53389155856,4.143896420346347,4189,238,24396,169,2958,751,0.0,0.0,53708,11.93511111111111,55.638465546510034,0.01328203999677967,0.002983690276154783,19
baseline_adversarial,ITAC_K_NoHysteresis,19,16625.727145377874,3.694606032306194,3404,200,21432,148,3071,623,1.0,0.0,50416,11.203555555555555,56.74980386586145,0.01667150524849044,0.0034133727427157067,19
baseline_adversarial,Greedy,20,28888.28458675848,6.41961879705744,0,0,0,10,1110,5,,,13500,3.0,0.0,0.0,0.0,23
baseline_adversarial,SPI_HCPI,20,29167.413740884997,6.481647497974444,40,0,0,10,1080,20,,,27000,6.0,0.0,0.0,0.0,23
baseline_adversarial,DualControl,20,28833.553689108605,6.407456375357468,351,0,0,50,1337,441,170.0,0.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,ConstrainedBandit,20,31159.815815739275,6.924403514608728,264,0,0,30,1037,327,,,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,GenericEIG,20,29660.504413651037,6.591223203033564,100,0,0,15,1080,167,,,54000,12.0,0.0,0.0,0.0,23
baseline_adversarial,ITAC_K_Full,20,19054.220558338977,4.234271235186439,3639,194,21128,178,2921,682,7.0,0.0,51332,11.407111111111112,56.00818758991357,0.015391093044768774,0.0029394111093881447,19
baseline_adversarial,ITAC_K_LocalOnly,20,19193.23859316354,4.26516413181412,4352,0,7828,179,2916,731,5.0,0.0,53408,11.868444444444444,55.811293921521106,0.012824286287114225,0.002907862247979379,19
baseline_adversarial,ITAC_K_GenericVoI_Local,20,21242.30107520063,4.7205113500445846,4500,0,8360,185,2736,709,18.0,0.0,54000,12.0,56.909590082889764,0.012646575573975503,0.002679068989815279,19
baseline_adversarial,ITAC_K_UnqualifiedRemote,20,15166.933375189405,3.370429638930979,2568,614,51300,153,3173,628,0.0,0.0,48728,10.828444444444445,49.99533165173828,0.019468587091798398,0.0032963375268412784,19
baseline_adversarial,ITAC_K_NoKinematics,20,19054.220558338977,4.234271235186439,3639,194,21128,178,2921,682,7.0,0.0,51332,11.407111111111112,56.00818758991357,0.015391093044768774,0.0029394111093881447,19
baseline_adversarial,ITAC_K_NoHysteresis,20,18235.219671652758,4.052271038145057,3331,184,20444,163,2953,619,8.0,0.0,50060,11.124444444444444,56.63625884682141,0.01700277959976626,0.0031058720359077615,19
baseline_adversarial,Greedy,21,28831.060630661006,6.406902362369112,0,0,0,10,1110,5,,,13500,3.0,0.0,0.0,0.0,23
baseline_adversarial,SPI_HCPI,21,29235.278094015288,6.496728465336731,40,0,0,10,1066,20,,,27000,6.0,0.0,0.0,0.0,23
baseline_adversarial,DualControl,21,27529.12578671784,6.11758350815952,425,0,0,50,1531,449,,0.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,ConstrainedBandit,21,29414.209240744924,6.53649094238776,253,0,0,30,1208,337,,84.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,GenericEIG,21,29634.941782973794,6.5855426184386205,103,0,0,15,1079,176,,,54000,12.0,0.0,0.0,0.0,23
baseline_adversarial,ITAC_K_Full,21,17075.553893769218,3.794567531948715,3653,201,21888,166,3104,648,2.0,0.0,51416,11.425777777777778,53.91716048768591,0.014759693536185578,0.0031575643650048743,19
baseline_adversarial,ITAC_K_LocalOnly,21,18466.238351285996,4.103608522507999,4334,0,7524,165,2953,701,2.0,0.0,53336,11.852444444444444,54.47737297395909,0.01256976764512208,0.0029501066723838353,19
baseline_adversarial,ITAC_K_GenericVoI_Local,21,20622.944609877548,4.582876579972789,4500,0,7676,168,2768,684,2.0,0.0,54000,12.0,55.74867152852972,0.012388593673006605,0.002703235283957868,19
baseline_adversarial,ITAC_K_UnqualifiedRemote,21,15086.637527463123,3.3525861172140274,2717,671,56468,148,3185,582,0.0,0.0,49552,11.011555555555555,51.09829691974946,0.018806881457397666,0.0033869904295594114,19
baseline_adversarial,ITAC_K_NoKinematics,21,17075.553893769218,3.794567531948715,3653,201,21888,166,3104,648,2.0,0.0,51416,11.425777777777778,53.91716048768591,0.014759693536185578,0.0031575643650048743,19
